talk,speaker,speaker_title,speaker_occ,speaker_bio
"Trial, error and the God complex",Tim Harford,,"Economist, journalist, broadcaster",Tim Harford's writings reveal the economic ideas behind everyday experiences.
A global culture to fight extremism,Maajid Nawaz,,Anti-extremism activist,"Maajid Nawaz works to promote conversation, tolerance and democracy in Muslim and non-Muslim communities."
Let's take back the Internet!,Rebecca MacKinnon,,Internet freedom activist,"Rebecca MacKinnon looks at issues of free expression, governance and democracy (or lack of) in the digital networks, platforms and services on which we are all more and more dependent."
Caring for engineered tissue,Nina Tandon,,Tissue engineering researcher,Nina Tandon studies ways to use electrical signals to grow artificial tissues for transplants and other therapies.
Don't take consciousness for granted,Simon Lewis,,"Author, producer","Simon Lewis is the author of ""Rise and Shine,"" a memoir about his remarkable recovery from a car accident and coma, and his new approach to our own consciousness."
The beautiful tricks of flowers,Jonathan Drori,,Educator,"Jonathan Drori commissioned the BBC's very first websites, one highlight in a long career devoted to online culture and educational media -- and understanding how we learn."
Cooking as never seen before,Nathan Myhrvold,,Polymath,"Nathan Myhrvold is a professional jack-of-all-trades. After leaving Microsoft in 1999, he's been a world barbecue champion, a wildlife photographer, a chef, a contributor to SETI, and a volcano explorer."
Try something new for 30 days,Matt Cutts,,Technologist,"An early employee at Google, Matt Cutts works to modernize the US government as an administrator at U.S. Digital Service (USDS)."
Building a park in the sky,Robert Hammond,,Friend of the High Line,"The co-founder of Friends of the High Line, Robert Hammond helped lead the effort to build an elevated park on an abandoned railway line in Manhattan."
Meet e-Patient Dave,Dave deBronkart,,e-Patient,"Dave deBronkart wants to help patients help themselves -- by owning their medical data, connecting to fellow patients and making medical care better."
A Rosetta Stone for a lost language,Rajesh Rao,,Computational neuroscientist,"Rajesh Rao seeks to understand the human brain through computational modeling, on two fronts: developing computer models of our minds, and using tech to decipher the 4,000-year-old lost script of the Indus Valley civilization.
"
On being just crazy enough,Joshua Walters,,"Comedian, activist","Joshua Walters is a bipolar comedian whose work explores language, creativity, beatboxing and madness ..."
A history of the universe in sound,Honor Harger,,"Executive Director, ArtScience Museum",Honor Harger explores the cultural impact of scientific ideas and how technology shapes society.
A circle of caring,Jok Church,,Cartoonist,"Jok Church created the science-education comic strip ""You Can with Beakman and Jax"" and the zany TV series ""Beakman's World."""
Different ways of knowing,Daniel Tammet,,"Linguist, educator","Daniel Tammet is the author of ""Born on a Blue Day,"" about his life with high-functioning autistic savant syndrome. He runs the language-learning site Optimnem, and his new book is ""Embracing the Wide Sky: A Tour Across the Horizons of the Mind."""
A future beyond traffic gridlock,Bill Ford,,"Executive chair, Ford Motor Co.","As executive chair of the Ford Motor Company, Bill Ford leads the company that put the world on wheels."
A cello with many voices,Maya Beiser,,Cellist,Maya Beiser commissions and performs radical new work for the cello. 
This is beatjazz,Onyx Ashanti,,Beatjazz inventor and controllerist,"Onyx Ashanti is the inventor of ""beatjazz"" -- a new way to make music."
Haunting photos of polar ice,Camille Seaman,,Photographer,TED Senior Fellow Camille Seaman photographs big ice and big clouds.
"A manifesto for play, for Bulgaria and beyond",Steve Keil,,Entrepreneur,"Based in Bulgaria, Steve Keil creates companies around big social and environmental goals."
How I became 100 artists,Shea Hembrey,,Artist and curator,"Shea Hembrey explores patterns from nature and myth. A childhood love of nature, and especially birdlife, informs his vision."
Medicine's future? There's an app for that,Daniel Kraft,,"Physician-scientist, inventor, entrepreneur",Daniel Kraft explores the impact and potential of rapidly developing technologies as applied to health and medicine.
Break the silence for suicide attempt survivors,JD Schramm,,Communicator,JD Schramm teaches future business leaders both the theoretical and practical aspects of communication.
Is anatomy destiny?,Alice Dreger,,Historian,"Alice Dreger studies history and anatomy, and acts as a patient advocate."
The world's first charter city?,Paul Romer,,"Chief Economist and Senior Vice President, World Bank",Paul Romer's research on catch-up growth in low- and middle-income countries has emphasized the importance of government policies that encourage orderly urban expansion.
Taking imagination seriously,Janet Echelman,,Artist,"American artist Janet Echelman reshapes urban airspace with monumental, fluidly moving sculpture that responds to environmental forces including wind, water, and sunlight."
,,,,
"We need a ""moral operating system""",Damon Horowitz,,"Philosopher, entrepreneur",Damon Horowitz explores what is possible at the boundaries of technology and the humanities.
Wearing nothing new,Jessi Arrington,,Designer,Jessi Arrington is a color-loving designer based in Brooklyn.
,,,,
7 rules for making more happiness,Stefan Sagmeister,,Graphic designer,"Renowned for album covers, posters and his recent book of life lessons, designer Stefan Sagmeister invariably has a slightly different way of looking at things."
Making a car for blind drivers,Dennis Hong,,Roboticist,Dennis Hong is the founder and director of RoMeLa -- a Virginia Tech robotics lab that has pioneered several breakthroughs in robot design and engineering. 
"On violin and cello, ""Passacaglia""",Robert Gupta,,Violinist,Violinist Robert Gupta joined the LA Philharmonic at the age of 19 -- and maintains a passionate parallel interest in neurobiology and mental health issues. He's a TED Senior Fellow.
Faith versus tradition in Islam,Mustafa Akyol,,Journalist,"Mustafa Akyol is a columnist for Turkey's oldest English-language daily, Hurriyet Daily News."
Art in exile,Shirin Neshat,,Iranian visual artist,"Shirin Neshat has lived much of her life outside her native Iran. Her photographs and films offer a glimpse of the cultural, religious and political realities that shape the identities of Muslim women worldwide.
"
How we'll stop polio for good,Bruce Aylward,,Epidemiologist,"As the Assistant Director-General of the World Health Organization’s Polio and Emergencies Cluster, Bruce Aylward works to ensure that polio stays under control and that the world is prepared to respond to health crises."
Visualizing ourselves ... with crowd-sourced data,Aaron Koblin,,Data artist,Aaron Koblin is an artist specializing in data and digital technologies. His work takes real world and community-generated data and uses it to reflect on cultural trends and the changing relationship between humans and technology.
How to tie your shoes,Terry Moore,,Thinker,"Terry Moore is the director of the Radius Foundation, a forum for exploring and gaining insight from different worldviews."
"The weird, wonderful world of bioluminescence",Edith Widder,,Marine biologist,Edith Widder combines her expertise in research and technological innovation with a commitment to stopping and reversing the degradation of our marine environment. 
The mystery of chronic pain,Elliot Krane,,Pediatric anesthesiologist,"At the Lucile Packard Children's Hospital at Stanford, Elliot Krane works on the problem of treating pain in children."
Building the Seed Cathedral,Thomas Heatherwick,,Designer,"Thomas Heatherwick is the founder of Heatherwick Studio, an architecture and design firm that, among other projects, designed the astonishing ""Seed Cathedral"" for the UK Pavilion at Shanghai Expo 2010."
A light switch for neurons,Ed Boyden,,Neuroengineer,Ed Boyden is a professor of biological engineering and brain and cognitive sciences at the MIT Media Lab and the MIT McGovern Institute.
My friend Richard Feynman,Leonard Susskind,,Physicist,"Leonard Susskind works on string theory, quantum field theory, quantum statistical mechanics and quantum cosmology at Stanford."
Building a museum of museums on the web,Amit Sood,,Technologist,"As the director of Google's Cultural Institute and Art Project, Amit Sood leads the effort to bring cultural artifacts from museums, archives and foundations onto the web in extraordinary detail."
The hidden power of smiling,Ron Gutman,,Entrepreneur,"Ron Gutman is the founder and former CEO of HealthTap, free mobile and online apps for health info. He's also the organizer of TEDxSiliconValley."
"Silk, the ancient material of the future",Fiorenzo Omenetto,,Biomedical engineer,"Fiorenzo G. Omenetto's research spans nonlinear optics, nanostructured materials (such as photonic crystals and photonic crystal fibers), biomaterials and biopolymer-based photonics. Most recently, he's working on high-tech applications for silk."
Animal tales from icy wonderlands,Paul Nicklen,,Polar photographer,"Paul Nicklen photographs the creatures of the Arctic and Antarctic, generating global awareness about wildlife in these isolated and endangered environments."
The hidden beauty of pollination,Louie Schwartzberg,,Filmmaker,"Louie Schwartzberg is a cinematographer, director and producer who captures breathtaking images that celebrate life -- revealing connections, universal rhythms, patterns and beauty."
Distant time and the hint of a multiverse,Sean Carroll,,"Physicist, cosmologist","A physicist, cosmologist and gifted science communicator, Sean Carroll is asking himself -- and asking us to consider -- questions that get at the fundamental nature of the universe."
Grow your own clothes,Suzanne Lee,,"Designer, biofabrication pioneer",TED Fellow Suzanne Lee is a fashion designer turned biofabrication pioneer who is nurturing a global community of innovators growing materials.
,,,,
"The mothers who found forgiveness, friendship",Aicha el-Wafi + Phyllis Rodriguez,,9/11 mothers,Aicha el-Wafi and Phyllis Rodriguez met around a shared tragedy -- and their friendship has become a powerful symbol for forgiveness and dialogue.
"Beware online ""filter bubbles""",Eli Pariser,,Online democracy advocate,"As a cofounder of Upworthy, and the author of ""The Filter Bubble,"" Eli Pariser leverages technology to help build better and more democratic societies."
Turning trash into toys for learning,Arvind Gupta,,Toymaker,Science educator Arvind Gupta uses simple toys to teach.
A next-generation digital book,Mike Matas,,Software engineer,"While at Apple, Mike Matas helped write the user interface for the iPhone and iPad. Now with Push Pop Press, he's helping to rewrite the electronic book."
Using nature to grow batteries,Angela Belcher,,Biological engineer,Angela Belcher looks to nature for inspiration on how to engineer viruses to create extraordinary new materials.
The security mirage,Bruce Schneier,,Security expert,"Bruce Schneier thinks hard about security -- as a computer security guru, and as a philosopher of the larger notion of making a safer world. "
Are we ready for neo-evolution?,Harvey Fineberg,,Health policy expert,"Harvey Fineberg studies medical decisionmaking -- from how we roll out new medical technology, to how we cope with new illnesses and threatened epidemics."
3 things I learned while my plane crashed,Ric Elias,,Entrepreneur,"Ric Elias is the CEO and cofounder of Red Ventures, a portfolio of fast-growing digital businesses."
What it takes to do extreme astrophysics,Anil Ananthaswamy,,"Author, journalist","Anil Ananthaswamy specializes in writing about neuroscience and physics. He is the author of ""The Man Who Wasn’t There,"" ""The Edge of Physics"" and the forthcoming ""Through Two Doors at Once."""
,,,,
On being wrong,Kathryn Schulz,,Wrongologist,"Kathryn Schulz is a staff writer for the New Yorker and is the author of ""Being Wrong: Adventures in the Margin of Error."""
A radical experiment in empathy,Sam Richards,,Sociologist,Sam Richards is a sociologist and teacher of the largest race relations course in the US. He argues that empathy is the core of sociology.
"Transplant cells, not organs",Susan Lim,,Surgeon,"A surgical pioneer in Singapore, Susan Lim is a researcher and entrepreneur."
Open-sourced blueprints for civilization,Marcin Jakubowski,,Farmer and technologist,"Marcin Jakubowski is open-sourcing a set of blueprints for 50 farming tools that can be built cheaply from scratch. Call it a ""civilization starter kit."""
Remaking my voice,Roger Ebert,,Film critic and blogger,"After losing the power to speak, legendary film critic Roger Ebert went on to write about creativity, race, politics and culture -- and film, just as brilliantly as ever."
The antidote to apathy,Dave Meslin,,Artist and organizer,"Dave Meslin is a ""professional rabble-rouser."" Based in Toronto, he works to make local issues engaging and even fun to get involved in."
The history of our world in 18 minutes,David Christian,,Historian,David Christian teaches an ambitious world history course that tells the tale of the entire universe -- from the Big Bang 13 billion years ago to present day.
A song inspired by the ocean,Jackson Browne,,Musician and activist,"Jackson Browne has written and performed some of the most literate and moving songs in popular music -- and has defined a genre of songwriting charged with honesty, emotion and personal politics."
Looking past limits,Caroline Casey,,Inclusivity activist,"Caroline Casey works relentlessly to bring out a global shift in business inclusion, and ensure that everyone can live their life without limit or labels."
The invention that unlocked a locked-in artist,Mick Ebeling,,Entrepreneur,"Mick Ebeling founded the Not Impossible Foundation, a nonprofit that develops creative solutions to real-world problems."
The greatest TED Talk ever sold,Morgan Spurlock,,Filmmaker,"Morgan Spurlock makes documentary film and TV that is personal, political -- and, above all, deeply empathetic."
Everyday compassion at Google,Chade-Meng Tan,,Google Fellow,"One of Google's earliest engineers, Chade-Meng Tan is now Google's Jolly Good Fellow -- the head of personal growth at the groundbreaking search company."
"Listen, learn ... then lead",Stanley McChrystal,General,Military leader,"General Stanley McChrystal is the former commander of U.S. and International forces in Afghanistan. A four-star general, he is credited for creating a revolution in warfare that fuses intelligence and operations."
Hands-on science with squishy circuits,AnnMarie Thomas,,Educator,AnnMarie Thomas works on the playful side of engineering -- using cool tools to teach and help others.
"A virtual choir 2,000 voices strong",Eric Whitacre,,"Composer, conductor","After creating and conducting a worldwide virtual choir on YouTube, Eric Whitacre is now touring with an astonishing live choir."
Google's driverless car,Sebastian Thrun,,"Educator, entrepreneur",Sebastian Thrun is a passionate technologist who is constantly looking for new opportunities to make the world better for all of us.
The genius puppetry behind War Horse,Handspring Puppet Company,,Puppeteers,"Basil Jones and Adrian Kohler, of Handspring Puppet Company, bring the emotional complexity of animals to the stage with their life-size puppets. Their latest triumph: ""War Horse."""
"Cracking Stuxnet, a 21st-century cyber weapon",Ralph Langner,,Security consultant,Ralph Langner is a German control system security consultant. He has received worldwide recognition for his analysis of the Stuxnet malware.
Don't insist on English!,Patricia Ryan,,Language teacher,Patricia Ryan has spent the past three-plus decades teaching English in Arabic countries -- where she has seen vast cultural (and linguistic) change.
,,,,
Human exoskeletons -- for war and healing,Eythor Bender,,Berkeley Bionics' CEO,"Eythor Bender is the CEO of Berkeley Bionics, which augments humans with wearable, powered and artificially intelligent devices called exoskeletons or ""wearable robots."""
It's time to question bio-engineering,Paul Root Wolpe,,Ethicist,"Paul Root Wolpe examines the ethical implications of new science -- genetic modification, neuroscience and other breakthroughs that stretch our current philosophy to the breaking point. He's the chief bioethicist at NASA, among other appointments."
"Evolution's gift of play, from bonobo apes to humans",Isabel Behncke,,Primatologist,Isabel Behncke applies an evolutionary lens to human questions like: Why do we play?
The magic washing machine,Hans Rosling,,Global health expert; data visionary,"In Hans Rosling’s hands, data sings. Global trends in health and economics come to vivid life. And the big picture of global development -- with some surprisingly good news -- snaps into sharp focus."
If I should have a daughter ...,Sarah Kay,,Poet,"Sarah Kay is a poet, performer, educator and the founder of Project VOICE, an organization that uses spoken word poetry to entertain, educate and empower students and teachers worldwide."
Why light needs darkness,Rogier van der Heide,,Lighting designer,Rogier van der Heide creates architectural spaces with light.
A life lesson from a volunteer firefighter,Mark Bezos,,"Activist, volunteer firefighter","Mark Bezos works at Robin Hood, a poverty-fighting charity in New York City, and the assistant captain of a volunteer fire company in suburban New York."
The sound the universe makes,Janna Levin,,Physicist,"Janna Levin is a professor of physics and astronomy at Barnard, where she studies the early universe, chaos, and black holes. She's the author of  “How the Universe Got Its Spots"" and the novel “A Madman Dreams of Turing Machines.”"
The social animal,David Brooks,,"Op-ed columnist, author","Writer and thinker David Brooks has covered business, crime and politics over a long career in journalism. "
How to keep rivers and streams flowing,Rob Harmon,,Natural resources expert,"Rob Harmon is an expert on energy and natural resources policy -- looking at smart ways to manage carbon, water and the energy we use every day."
The birth of a word,Deb Roy,,Cognitive scientist,"Deb Roy studies how children learn language, and designs machines that learn to communicate in human-like ways. On sabbatical from MIT Media Lab, he's working with the AI company Bluefin Labs."
Let's use video to reinvent education,Sal Khan,,Educator and social entrepreneur,"In 2004, Sal Khan, a hedge fund analyst, began making math tutorials for his cousins. Twelve years later, Khan Academy has more than 42 million registered users from 190 countries, with tutorials on subjects from basic math through economics, art history, computer science, health, medicine and more."
This isn't her mother's feminism,Courtney E. Martin,,Journalist,Courtney E. Martin’s work has two obsessions at its core: storytelling and solutions. 
Printing a human kidney,Anthony Atala,,Surgeon,"Anthony Atala asks, ""Can we grow organs instead of transplanting them?"" His lab at the Wake Forest Institute for Regenerative Medicine is doing just that -- engineering over 30 tissues and whole organs."
How state budgets are breaking US schools,Bill Gates,,"Technologist, philanthropist","A passionate tech visionary, Bill Gates changed the world while leading Microsoft to dizzying success. Now he's doing it again through his global philanthropic work that strives to reduce inequity everywhere."
Inside the Egyptian revolution,Wael Ghonim,,Internet activist and computer engineer,"Wael Ghonim believes that the Internet can be the most powerful platform for connecting humanity, if we can bring civility and thoughtful conversations back to it."
My wish, JR,,Street artist,"With a camera, a dedicated wheatpasting crew and the help of whole villages and favelas, 2011 TED Prize winner JR shows the world its true face."
A historic moment in the Arab world,Wadah Khanfar,,Journalist,"As the Director General of Al Jazeera from 2003-2011, Wadah Khanfar worked to bring rare liberties like information, transparency and dissenting voices to repressive states and political hot zones."
"A modern take on piano, violin, cello",Ahn Trio,,Piano trio,"With cello, piano and violin, sisters Maria, Lucia and Angella Ahn are constantly redefining the art and architecture of chamber music. "
Understanding cancer through proteomics,Danny Hillis,,Computer theorist,"Inventor, scientist, author, engineer -- over his broad career, Danny Hillis has turned his ever-searching brain on an array of subjects, with surprising results."
Curating humanity's heritage,Elizabeth Lindsey,,"Explorer, ethnographer",Elizabeth Lindsey is a fellow of the National Geographic Society. Her mission: to keep ancestral voices alive by recording indigenous wisdom and traditions.
Saving faces,Iain Hutchison,,Facial surgeon,"Iain Hutchison is a pioneering oral and facial surgeon; his foundation, Saving Faces, explores the nature of our expressions."
How to use experts -- and when not to,Noreena Hertz,,Economist,"Noreena Hertz looks at global culture -- financial and otherwise -- using an approach that combines traditional economic analysis with foreign policy trends, psychology, behavioural economics, anthropology, history and sociology."
On being a woman and a diplomat,Madeleine Albright,,Former US Secretary of State,"Since leaving office as US Secretary of State in 2001, Madeleine Albright has continued her distinguished career in foreign affairs as a businesswoman, political adviser and professor. "
"The future of business is the ""mesh""",Lisa Gansky,,Entrepreneur,"Lisa Gansky is the author of ""The Mesh: Why the Future of Business Is Sharing,"" and the instigator behind the Mesh Directory (www.meshing.it)."
Inspiring a life of immersion,Jacqueline Novogratz,,Founder and CEO of Acumen,"Jacqueline Novogratz works to enable human flourishing. Her organization, Acumen, invests in people, companies and ideas that see capital and networks as means, not ends, to solving the toughest issues of poverty."
The linguistic genius of babies,Patricia Kuhl,,Language,"Patricia Kuhl studies how we learn language as babies, looking at the ways our brains form around language acquisition."
,,,,
A whistleblower you haven't heard,Geert Chatrou,,Whistler,"It all started as a practical joke: Geert Chatrou's sister-in-law entered him in the International Whistler's Convention in Louisburg, NC. To save face, he went … and won!"
Using nature's genius in architecture,Michael Pawlyn,,Architect,"Michael Pawlyn takes cues from nature to make new, sustainable architectural environments."
Mother and daughter doctor-heroes,Dr. Hawa Abdi + Dr. Deqo Mohamed,,Somali doctors who treat women refugees,"Dr. Hawa Abdi and her daughters, Dr. Deqo Mohamed and Dr. Amina Mohamed, treat Somali refugee women and children, often for free."
The rise of personal robots,Cynthia Breazeal,,Roboticist,"At MIT, Cynthia Breazeal and her team are building robots with social intelligence that communicate and learn the same way people do. 
"
How to make work-life balance work,Nigel Marsh,,Author and marketer,"Nigel Marsh presents and writes on business and personal life -- and how the two interact. He is the author of ""Fat, Forty and Fired."""
"Poems of war, peace, women, power",Suheir Hammad,,"Poet, playwright","In her poems and plays, Suheir Hammad blends the stories and sounds of her Palestinian-American heritage with the vibrant language of Brooklyn to create a passionately modern voice."
Are we born to run?,Christopher McDougall,,"Journalist, runner","Christopher McDougall is the author of ""Born to Run: A Hidden Tribe, Super Athletes, and the Greatest Race the World Has Never Seen."""
Social media and the end of gender,Johanna Blakley,,Media maven,Johanna Blakley studies the impact of mass media and entertainment on our world.
We are makers,Dale Dougherty,,Tech publisher,"A technology and publishing enthusiast, Dale Dougherty founded MAKE magazine and created the world's largest DIY festival, Maker Faire."
Reviving New York's rivers -- with oysters!,Kate Orff,,Landscape architect,Kate Orff asks us to rethink “landscape”—to use urban greenspaces and blue spaces in fresh ways to mediate between humankind and nature.
,,,,
"Know thyself, with a brain scanner",Ariel Garten,,"Artist, scientist and entrepreneur","As CEO of InteraXon, Ariel Garten works to close the gap between science, art, business and technology."
Drawing on humor for change,Liza Donnelly,,Cartoonist,"New Yorker cartoonist Liza Donnelly tackles global issues with humor, intelligence and sarcasm. Her latest project supports the United Nations initiative Cartooning For Peace. "
It's time to redesign medical data,Thomas Goetz,,Healthcare communicator,"Thomas Goetz is the co-founder of Iodine and author of ""The Decision Tree: Taking Control of Your Health in the New Era of Personalized Medicine.”"
Understanding the rise of China,Martin Jacques,,"Writer, columnist","Martin Jacques is the author of ""When China Rules the World,"" and a columnist for the Guardian and New Statesman. He was a co-founder of the think tank Demos."
Silicon-based comedy,Heather Knight,,Roboticist,"Heather Knight runs Marilyn Monrobot, which creates socially intelligent robot performances and sensor-based electronic art. (and she helped build the amazing Rube Goldberg machine for OK Go’s “This Too Shall Pass."")"
Visualizing the medical data explosion,Anders Ynnerman,,Scientific visualization expert,"Anders Ynnerman studies the fundamental aspects of computer graphics and visualization, in particular large scale and complex data sets with a focus on volume rendering and multi-modal interaction. "
The economic injustice of plastic,Van Jones,,"TV host, author, changemaker",Van Jones is the CEO of REFORM Alliance and a CNN political commentator.
Singing after a double lung transplant,Charity Tillemann-Dick,,Soprano,"Charity Tillemann-Dick was a soprano who appeared on opera and concert stages around the world. Her roles included Titania in ""A Midsummer's Night Dream,"" Gilda in ""Rigoletto"" and Violetta in ""La Traviata."""
Addicted to risk,Naomi Klein,,"Journalist, activist","Naomi Klein is a public intellectual, journalist and activist."
Gaming to re-engage boys in learning,Ali Carr-Chellman,,Instructional designer,Ali Carr-Chellman is an instructional designer and author who studies the most effective ways to teach kids and to make changes at school.
"Take ""the Other"" to lunch",Elizabeth Lesser,,Wellness specialist,"Elizabeth Lesser helps her readers and students transform their lives after brushes with pain, adversity and life's myriad problems."
How I built a toaster -- from scratch,Thomas Thwaites,,Designer,"Thomas Thwaites is a designer ""of a more speculative sort,"" he says."
We are all cyborgs now,Amber Case,,Cyborg Anthropologist,Amber Case studies the symbiotic interactions between humans and machines -- and considers how our values and culture are being shaped by living lives increasingly mediated by high technology. 
A realistic vision for world peace,Jody Williams,,Nobel peace laureate,"Jody Williams won a Nobel Peace Prize for her efforts to eradicate landmines. Now she’s teaming up with five other female peace laureates to empower women to fight violence, injustice and inequality."
The 3 A's of awesome,Neil Pasricha,,"Thinker, writer, speaker, podcaster",Neil Pasricha is one of the world's leading authorities on intentional living.
"A test that finds 3x more breast tumors, and why it's not available to you",Deborah Rhodes,,"Physician, cancer researcher",Deborah Rhodes is an expert at managing breast-cancer risk. The director of the Mayo Clinic’s Executive Health Program is now testing a gamma camera that can see tumors that get missed by mammography.
Your brain on improv,Charles Limb,,Researcher,Charles Limb is a doctor and a musician who researches the way musical creativity works in the brain.
On reading the Koran,Lesley Hazleton,,"Writer, psychologist","Writer, psychologist and former Middle East reporter Lesley Hazleton explores the vast and often terrifying arena in which politics and religion intersect. "
How to succeed? Get more sleep,Arianna Huffington,,Journalist,"Arianna Huffington is the co-founder and former editor-in-chief of The Huffington Post, a nationally syndicated columnist, and author of thirteen books. She is the co-host of “Left, Right & Center,” a political roundtable radio program."
Using our practical wisdom,Barry Schwartz,,Psychology professor,"Barry Schwartz studies the link between economics and psychology, offering startling insights into modern life."
The power of vulnerability,Brené Brown,,"Vulnerability researcher, storyteller","Dr. Brené Brown studies courage, vulnerability, shame and empathy."
3 stories of local eco-entrepreneurship,Majora Carter,,Activist for environmental justice,"Majora Carter redefined the field of environmental equality, starting in the South Bronx at the turn of the century.  Now she is leading the local economic development movement across the USA."
Why we have too few women leaders,Sheryl Sandberg,,"COO, Facebook","As the COO at the helm of Facebook, Sheryl Sandberg juggles the tasks of monetizing the world’s largest social networking site while keeping its users happy and engaged."
Life lessons from big cats,Beverly + Dereck Joubert,,"Conservationists, filmmakers","Documentary filmmakers Beverly and Dereck Joubert have worked to conserve wildlife for more than 25 years. As National Geographic Explorers in Residence, the couple influences public policy and perceptions."
The case for collaborative consumption,Rachel Botsman,,Trust researcher,"Rachel Botsman is a recognized expert on how collaboration and trust enabled by digital technologies will change the way we live, work, bank and consume."
Let's talk parenting taboos,Rufus Griscom + Alisa Volkman,,Website co-founders,"Rufus Griscom and Alisa Volkman co-founded Babble, a website for parents. They have three sons."
How to learn? From mistakes,Diana Laufenberg,,Educator,"For over 15 years Diana has been a secondary social studies teacher in Wisconsin, Kansas, Arizona and Pennsylvania."
New data on the rise of women,Hanna Rosin,,Journalist,"Hanna Rosin isn’t afraid to shine a skeptical spotlight on people’s cherished ideals, whether it’s politically correct dogma or the conservative Christian agenda."
A police chief with a difference,Kiran Bedi,,Corrections pioneer,"Kiran Bedi was one of India's top cops -- tough, innovative and committed to social change. Now retired from the national police force, Bedi runs two NGOs that benefit rural and urban poor. "
A call to men,Tony Porter,,"Author, educator, activist",Tony Porter is an educator and activist who is internationally recognized for his effort to end violence against women.
A feminine response to Iceland's financial crash,Halla Tómasdóttir,,Change catalyst,"Halla Tómasdóttir is the CEO of The B Team, a group of global leaders working together to transform business for a better world."
A vision for sustainable restaurants,Arthur Potts Dawson,,Green chef,"Arthur Potts Dawson wants us to take responsibility not just for the food we eat, but how we shop for and even dispose of it. And he's showing the way -- with impeccable taste."
How I taught rats to sniff out land mines,Bart Weetjens,,Product developer,"The founder of Apopo, Bart Weet­jens, is train­ing rats to detect landmine explosives in minute amounts."
Why not eat insects?,Marcel Dicke,,Ecological entomologist,"Marcel Dicke wants us to reconsider our relationship with insects, promoting bugs as a tasty -- and ecologically sound -- alternative to meat in an increasingly hungry world."
"The walk from ""no"" to ""yes""",William Ury,,Mediator,"William Ury is a mediator, writer and speaker, working with conflicts ranging from family feuds to boardroom battles to ethnic wars. He's the author of ""Getting to Yes."""
What's wrong with our food system,Birke Baehr,,Aspiring organic farmer,"Birke Baehr wants us to know how our food is made, where it comes from, and what's in it. At age 11, he's planning a career as an organic farmer."
Creative houses from reclaimed stuff,Dan Phillips,,Builder,"Dan Phillips builds homes out of recycled and reclaimed materials in Huntsville, Texas."
Why work doesn't happen at work,Jason Fried,,Software entrepreneur,"Jason Fried thinks deeply about collaboration, productivity and the nature of work. He's the co-founder of 37signals, makers of Basecamp and other web-based collaboration tools, and co-author of ""Rework."""
"Women, wartime and the dream of peace",Zainab Salbi,,Activist and social entrepreneur,"Iraqi-born Zainab Salbi founded and runs Women for Women International, and has dedicated her life to helping women in war-torn regions rebuild their lives and communities."
Protecting the brain against concussion,Kim Gorgens,,Neuropsychologist,Kim Gorgens studies the brain's response to injury -- and advocates that we mind our (gray) matter.
Making law on the high seas,Kristina Gjerde,,High seas policy advisor,Kristina Gjerde is an expert on the law of the high seas -- the vast areas of the sea and seabed that exist beyond any national jurisdiction. These places belong to the world; Gjerde's work helps the world work together to protect them.
My green school dream,John Hardy,,"Designer, educator","Jewelry designer John Hardy co-founded the extraordinary Green School in Bali, where kids get a holistic and green education."
What a bike ride can teach you,Shimon Schocken,,"Computer Scientist, Educator",Shimon Schocken is a computer science professor and dedicated educator.
A Darwinian theory of beauty,Denis Dutton,,Philosopher,"Denis Dutton was a philosophy professor and the editor of Arts & Letters Daily. In his book The Art Instinct, he suggested that humans are hard-wired to seek beauty."
Teaching kids real math with computers,Conrad Wolfram,,Mathematician,"Conrad Wolfram runs the worldwide arm of Wolfram Research, the mathematical lab behind the cutting-edge knowledge engine Wolfram Alpha."
Simplifying complexity,Eric Berlow,,Ecologist,"TED Senior Fellow Eric Berlow studies ecology and networks, exposing the interconnectedness of our ecosystems with climate change, government, corporations and more.  "
Making global labor fair,Auret van Heerden,,Labor-rights activist,"At the head of the Fair Labor Association (FLA), Auret van Heerden takes a practical approach to workers' rights, persuading corporations and NGOs to protect labor in global supply chains."
America's native prisoners of war,Aaron Huey,,Photographer,"Photographer, adventurer and storyteller Aaron Huey captures all of his subjects -- from war victims to rock climbers to Sufi dervishes -- with elegance and fearless sensitivity."
The path to ending ethnic conflicts,Stefan Wolff,,Ethnic conflicts scholar,"Stefan Wolff studies contemporary conflicts, focusing on the prevention and settlement of ethnic conflicts and in postconflict reconstruction in deeply divided and war-torn societies."
Teaching design for change,Emily Pilloton,,"Builder, youth educator",Emily Pilloton wants to give young people the tools to build the world they want to see.
A one-man orchestra of the imagination,Andrew Bird,,Musician,"Andrew Bird is a virtual one-man band -- he’s a singer and songwriter and plays the violin, guitar, glockenspiel."
Re-engineering the brain,Gero Miesenboeck,,Optogeneticist,"Using light and a little genetic engineering -- optogenetics -- Gero Miesenboeck has developed a way to control how living nerve cells work, and advanced understanding of how the brain controls behavior."
Saving the ocean one island at a time,Greg Stone,,Oceanographer,Greg Stone was a key driver in the establishment of the Phoenix Island Protected Area in the island nation of Kiribati. The second-largest marine protected area in the world -- and one of the most pristine -- PIPA is a laboratory for exploring and monitoring the recovery of coral reefs from bleaching events.
E-voting without fraud,David Bismark,,Voting system designer,David Bismark has co-developed an electronic voting system that contains a simple and reliable method of verification.
