talk,speaker,speaker_title,speaker_occ,speaker_bio
How creative writing can help you through life's hardest moments,Sakinah Hofler,,"Writer, poet and playwright",Sakinah Hofler writes the world as she sees it and as she imagines it could be.
Can you solve the monster duel riddle?,Alex Gendler,,,
The legacy of matriarchs in the Yukon First Nations,Kluane Adamek,,Assembly of First Nations Yukon Regional Chief,Kluane Adamek has served as the Assembly of First Nations (AFN) Yukon Regional Chief since January 2018.
The world's largest organism,Alex Rosenthal,,Producer,Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.
The end of globalization (and the beginning of something new),Mike O'Sullivan,,"Author, economist, investor","Mike O'Sullivan postulates that the 30-year era of globalization is now over and that we are entering a new, uncertain -- but increasingly values-driven -- world order."
Fossil fuel companies know how to stop global warming. Why don't they?,Myles Allen,,Climate science scholar,Myles Allen studies how human activities and natural drivers contribute to changes in global climate and risks of extreme weather.
A stellar history of modern astronomy,Emily Levesque,,Astrophysicist,Emily Levesque explores how the most massive stars in the universe evolve and die and how technology is changing the stories we tell about science and the cosmos.
The most colorful gemstones on Earth,Jeff Dekofsky,,,
How to foster true diversity and inclusion at work (and in your community),Rosalind G. Brewer,,COO of Starbucks,"As COO and group president for Starbucks, Rosalind G. Brewer leads the company's operating businesses across the Americas."
An aerialist on listening to your body's signals,Adie Delaney,,"Educator, performer","When she was just four years old, Adie Delaney's parents enrolled her in gymnastics classes. What started as a way to burn off energy became a passion for both performance and transforming the lives of others."
,,,,
It takes a community to eradicate hate,Wale Elegbede,,"Strategist, change-maker, social justice advocate","Wale Elegbede is a strategist who believes good, ethical leaders have a responsibility to bring positive change to their communities, organizations and families."
Inside the massive (and unregulated) world of surveillance tech,Sharon Weinberger,,Journalist,Sharon Weinberger has spent the past two decades exploring the implications of the science and technology being spawned by the national security state.
Why is pneumonia so dangerous?,Eve Gaus,,,
The city planting a million trees in two years,Yvonne Aki-Sawyerr,,"Mayor of Freetown, Sierra Leone","As mayor of Freetown, Sierra Leone, Yvonne Aki-Sawyerr is committed to addressing her city's challenges using an inclusive, data-driven approach to urban development."
"How to come out at work, about anything",Micah Eames,,"Writer, Trans rights advocate","Micah Eames is a writer, artist and trans rights advocate in pursuit of the perfect skin care routine."
How reverse mentorship can help create better leaders,Patrice Gordon,,"Executive coach, personal development advocate",Patrice Gordon's passion for people and helping them realize their full potential led her to a career in coaching.
How COVID-19 human challenge trials work -- and why I volunteered,Sophie Rose,,Infectious disease researcher,"As cofounder of 1Day Sooner, Sophie Rose advocates for COVID-19 challenge trial volunteers."
Could we treat spinal cord injuries with asparagus?,Andrew Pelling,,Biomedical researcher,TED Senior Fellow Andrew Pelling uses novel materials for next-generation medical innovations and speculative living technologies of the future.
Which bag should you use?,Luka Wright,,,
How quinoa can help combat hunger and malnutrition,Cedric Habiyaremye,,"Crop scientist, agricultural entrepreneur",Cedric Habiyaremye is the scientist who brought quinoa to Rwanda and other parts of Africa.
A playful exploration of gender performance,Jo Michael Rezes,,"Performer, director",Jo Michael Rezes creates theatre in collaboration with inspiring artists scattered between fringe and professional companies. 
Can you solve the Alice in Wonderland riddle?,Alex Gendler,,,
What it takes to crush a pandemic,Johanna Benesty,,Global health strategist,BCG's Johanna Benesty is a managing director and partner in the firm's Paris office.
The mood-boosting power of crying,Kathy Mendias,,Certified childbirth and lactation educator,Kathy Mendias is a certified childbirth and lactation educator and doula with a passion to educate and support expecting couples and promote emotional health through embracing life's tears.
A magical mantra for nurturing a blissful life,JayaShri Maathaa,,Monk,JayaShri Maathaa is a spiritual teacher and leader.
How fast is the speed of thought?,Seena Mathew,,,
How India could pull off the world's most ambitious energy transition,Varun Sivaram,,"Clean energy executive, physicist, author","To combat climate change, Varun Sivaram seeks to scale up clean energy technologies and cultivate innovation ecosystems spanning industry, academia and government."
How working couples can best support each other,Jennifer Petriglieri,,"Researcher, author",Jennifer Petriglieri is on a mission to find what it takes to thrive in love and work.
How the new generation of Latinx voters could change US elections,María Teresa Kumar,,Civic leader,"María Teresa Kumar is the President and CEO of Voto Latino, a nonprofit organization committed to shaking up the American political process."
"To future generations of women, you are the roots of change",Gloria Steinem,,"Feminist activist, writer","Gloria Steinem is an award-winning journalist, writer, political activist and feminist organizer."
Why do you get a fever when you're sick?,Christian Moro,,,
How to be fearless in the face of authoritarianism,Sviatlana Tsikhanouskaya,,Politician,Sviatlana Tsikhanouskaya is the leader of democratic Belarus.
How do investors choose stocks?,Richard Coffin,,,
"To save the climate, we have to reimagine capitalism",Rebecca Henderson,,Capitalism rethinker,Rebecca Henderson is obsessed with finding solutions to climate change.
"Theranos, whistleblowing and speaking truth to power",Erika Cheung,,Whistleblower,Erika Cheung was one of the key whistleblowers in the Theranos scandal. 
,,,,
The energy Africa needs to develop -- and fight climate change,Rose M. Mutiso,,Energy researcher,Rose M. Mutiso works with a global network of experts finding solutions for energy deficits across Africa and Asia. She is also helping African women become scholars and thought leaders.
How we can use the hiring process to bring out the best in people,Gil Winch,,"Psychologist, organizational consultant","Gil Winch is a psychologist, organizational consultant and keynote speaker with 30 years of experience working with some of Israel's largest organizations."
I stepped out of grief -- by dancing with fire,Danielle Torley,,"Fire performer, management professional",Danielle Torley is a business development and proposal management professional who moonlights as a fire performer and flow artist.
Do larger animals take longer to pee?,David Hu,,,
Lessons on leaving the world better than you found it,Sophie Howe,,Future Generations Commissioner for Wales,Sophie Howe safeguards the interests and well-being of the future generations of Wales.
,,,,
The dark history of bananas,John Soluri,,,
The radical act of choosing common ground,Nisha Anand,,Activist and CEO,"With her team of storytellers, organizers and policy experts, Nisha Anand works at the intersection of criminal justice reform, green economics and tech equity to develop cutting-edge solutions to our toughest problems. "
How your unique story can get you hired,Aimée Eubanks Davis,,Education entrepreneur,Aimée Eubanks Davis believes that our next generation of leaders will emerge from everywhere.
What crows teach us about death,Kaeli Swift,,Animal behaviorist,"Kaeli Swift wants to know everything about crows, including what they can teach us about the evolution of cognition and social behaviors."
The race to net-zero emissions by 2050 is on. Can we count you in?,Nigel Topping,,"UK High Level Climate Action Champion, COP26","Appointed by the UK Prime Minister in January 2020, Nigel Topping is the UK's High-Level Climate Action Champion."
How to foster productive and responsible debate,Ishan Bhabha,,Constitutional lawyer,"Ishan Bhabha counsels and represents clients on their highest-stakes matters, with a particular focus on complex issues of constitutional, regulatory and commercial law."
How to decarbonize the grid and electrify everything,John Doerr,,"Engineer, investor","John Doerr is an engineer, acclaimed venture capitalist and the chairman of Kleiner Perkins."
Can you outsmart a troll (by thinking like one)?,Claire Wardle,,Misinformation expert,Claire Wardle is an expert on user-generated content and verification working to help improve the quality of information online.
The case for stubborn optimism on climate,Christiana Figueres,,Stubborn optimist,Christiana Figueres is an internationally recognized leader on global climate change.
The power of venom -- and how it could one day save your life,Mandë Holford,,Venom scientist,Mandë Holford investigates the power of venom to transform organisms (and lives) when it is adapted to create new therapeutics that treat human diseases and disorders.
What the Irish wake teaches us about living and dying,Kevin Toolis,,"Filmmaker, poet, writer",Kevin Toolis's wide-ranging command of culture and history blends meaning and connection with death as part of life. 
What if there were 1 trillion more trees?,Jean-François Bastin,,,
Climate change is becoming a problem you can taste,Amanda Little,,"Author, journalist, professor",Amanda Little is a professor of journalism and science writing at Vanderbilt University.
Can you outsmart the fallacy that started a witch hunt?,Elizabeth Cox,,,
What if a US presidential candidate refuses to concede after an election?,Van Jones,,"TV host, author, changemaker",Van Jones is the CEO of REFORM Alliance and a CNN political commentator.
Can we create vaccines that mutate and spread?,Leor Weinberger,,Virologist,"Leor Weinberger and his team have developed novel therapies with profound implications in depriving infectious diseases, in particular HIV, of the ability to replicate."
How to lead in a crisis,Amy C. Edmondson,,Leadership expert,Amy C. Edmondson studies people and teams seeking to make a positive difference through the work they do.
On time and water,Andri Snær Magnason,,"Writer, poet","Known for his unusual approach to everyday issues, Andri Snær Magnason is a storyteller and environmental activist."
How to reduce the wealth gap between Black and white Americans,Kedra Newsom Reeves,,Wealth equity strategist,"BCG's Kedra Newsom Reeves is a managing director and partner at the company's Chicago office, with a focus on financial services and the public sector."
